New York Times 100 Best Books of the 20th Century,,,,,,
"As voted on by 503 novelists, nonfiction writers, poets, critics (Critics List) as well as by readers (Readers List)",,,,,,
Title,Author,Rating,Number Ratings,Critics List,Readers List,Read?
Know My Name,Chanel Miller,4.70,"213,733",,Yes,
Just Mercy,Bryan Stevenson,4.63,"239,063",,Yes,
The Nightingale,Kristin Hannah,4.63,"1,502,547",,Yes,
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,"3,804,631",,Yes,
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,4.54,"111,130",,Yes,
James,Percival Everett,4.54,"68,588",,Yes,
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants",Robin Wall Kimmerer,4.53,"130,779",,Yes,
Caste: The Origins of Our Discontents,Isabel Wilkerson,4.53,"144,186",,Yes,
Septology,Jon Fosse,4.52,964,Yes,,
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,4.52,"110,445",Yes,,
Project Hail Mary,Andy Weir,4.51,"640,600",,Yes,
Demon Copperhead,Barbara Kingsolver,4.50,"499,027",Yes,Yes,
Heavy,Kiese Laymon,4.48,"41,176",Yes,,
Educated,Tara Westover,4.47,"1,604,612",,Yes,
Evicted: Poverty and Profit in the American City,Matthew Desmond,4.47,"101,818",Yes,Yes,
Homegoing,Yaa Gyasi,4.47,"356,950",,Yes,
The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,4.47,"105,497",Yes,Yes,
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,4.46,"114,684",Yes,Yes,
Secondhand Time: The Last of the Soviets,Svetlana Alexievich,4.46,"18,770",Yes,,
"Wayward Lives, Beautiful Experiments: Intimate Histories of Riotous Black Girls, Troublesome Women, and Queer Radicals",Saidiya Hartman,4.46,"3,982",Yes,,
The Covenant of Water,Abraham Verghese,4.45,"204,130",,Yes,
A Thousand Splendid Suns,Khaled Hosseini,4.44,"1,577,166",,Yes,
"The Story of the Lost Child (The Neapolitan Novels, #4)",Elena Ferrante,4.44,"145,532",Yes,,
In the Dream House,Carmen Maria Machado,4.42,"134,950",,Yes,
Between the World and Me,Ta-Nehisi Coates,4.40,"339,546",Yes,Yes,
When Breath Becomes Air,Paul Kalanithi,4.40,"699,612",,Yes,
Remarkably Bright Creatures,Shelby Van Pelt,4.39,"712,939",,Yes,
The Book Thief,Markus Zusak,4.39,"2,637,723",,Yes,
A Man Called Ove,Fredrik Backman,4.38,"1,073,956",,Yes,
The Passage of Power,Robert A. Caro,4.38,"18,464",Yes,,
Where the Crawdads Sing,Delia Owens,4.38,"3,161,007",,Yes,
