Col1,Col2,Col3,Col4
1,Demon Copperhead,Demon Copperhead,Want to Read
,,by ,Rate this book
,,Barbara Kingsolver,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.50 avg rating — 499,027 ratings",
,,"score: 595, and 6 people voted ?",
2,The Hunger Games (The Hunge...,"The Hunger Games (The Hunger Games, #1)",Want to Read
,,by ,Rate this book
,,Suzanne Collins,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.34 avg rating — 8,932,203 ratings",
,,"score: 439, and 5 people voted ?",
3,A Gentleman in Moscow,A Gentleman in Moscow,Want to Read
,,by ,Rate this book
,,Amor Towles (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.33 avg rating — 578,183 ratings",
,,"score: 398, and 4 people voted ?",
4,All the Light We Cannot See,All the Light We Cannot See,Want to Read
,,by ,Rate this book
,,Anthony Doerr (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.31 avg rating — 1,745,565 ratings",
,,"score: 392, and 4 people voted ?",
4,The Goldfinch,The Goldfinch,Want to Read
,,by ,Rate this book
,,Donna Tartt,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.95 avg rating — 952,617 ratings",
,,"score: 392, and 4 people voted ?",
6,Educated,Educated,Want to Read
,,by ,Rate this book
,,Tara Westover (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.47 avg rating — 1,604,612 ratings",
,,"score: 388, and 4 people voted ?",
7,"Tomorrow, and Tomorrow, and...","Tomorrow, and Tomorrow, and Tomorrow",Want to Read
,,by ,Rate this book
,,Gabrielle Zevin (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.15 avg rating — 1,005,199 ratings",
,,"score: 387, and 4 people voted ?",
7,"Wolf Hall (Thomas Cromwell,...","Wolf Hall (Thomas Cromwell, #1)",Want to Read
,,by ,Rate this book
,,Hilary Mantel,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.91 avg rating — 215,241 ratings",
,,"score: 387, and 4 people voted ?",
9,Station Eleven,Station Eleven,Want to Read
,,by ,Rate this book
,,Emily St. John Mandel (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.07 avg rating — 540,782 ratings",
,,"score: 381, and 4 people voted ?",
10,Circe,Circe,Want to Read
,,by ,Rate this book
,,Madeline Miller (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.23 avg rating — 1,129,277 ratings",
,,"score: 366, and 4 people voted ?",
11,The Nightingale,The Nightingale,Want to Read
,,by ,Rate this book
,,Kristin Hannah (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.63 avg rating — 1,502,547 ratings",
,,"score: 342, and 4 people voted ?",
12,Harry Potter and the Deathl...,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",Want to Read
,,by ,Rate this book
,,J.K. Rowling,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.62 avg rating — 3,804,631 ratings",
,,"score: 307, and 4 people voted ?",
13,Project Hail Mary,Project Hail Mary,Want to Read
,,by ,Rate this book
,,Andy Weir (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.51 avg rating — 640,600 ratings",
,,"score: 290, and 4 people voted ?",
14,Never Let Me Go,Never Let Me Go,Want to Read
,,by ,Rate this book
,,Kazuo Ishiguro (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.85 avg rating — 729,433 ratings",
,,"score: 289, and 3 people voted ?",
15,My Brilliant Friend (The Ne...,"My Brilliant Friend (The Neapolitan Novels, #1)",Want to Read
,,by ,Rate this book
,,Elena Ferrante,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.05 avg rating — 361,257 ratings",
,,"score: 286, and 3 people voted ?",
16,The Overstory,The Overstory,Want to Read
,,by ,Rate this book
,,Richard Powers,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.12 avg rating — 167,264 ratings",
,,"score: 282, and 3 people voted ?",
17,A Little Life,A Little Life,Want to Read
,,by ,Rate this book
,,Hanya Yanagihara (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.32 avg rating — 704,138 ratings",
,,"score: 281, and 3 people voted ?",
18,Lincoln in the Bardo,Lincoln in the Bardo,Want to Read
,,by ,Rate this book
,,George Saunders,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.75 avg rating — 159,824 ratings",
,,"score: 278, and 3 people voted ?",
18,A Man Called Ove,A Man Called Ove,Want to Read
,,by ,Rate this book
,,Fredrik Backman (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.38 avg rating — 1,073,956 ratings",
,,"score: 278, and 4 people voted ?",
20,There There,There There,Want to Read
,,by ,Rate this book
,,Tommy Orange (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.98 avg rating — 193,990 ratings",
,,"score: 249, and 3 people voted ?",
21,Braiding Sweetgrass: Indige...,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants",Want to Read
,,by ,Rate this book
,,Robin Wall Kimmerer,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.53 avg rating — 130,779 ratings",
,,"score: 243, and 3 people voted ?",
22,Gone Girl,Gone Girl,Want to Read
,,by ,Rate this book
,,Gillian Flynn (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.14 avg rating — 3,178,854 ratings",
,,"score: 239, and 3 people voted ?",
23,The Fifth Season (The Broke...,"The Fifth Season (The Broken Earth, #1)",Want to Read
,,by ,Rate this book
,,N.K. Jemisin (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.30 avg rating — 283,653 ratings",
,,"score: 231, and 3 people voted ?",
24,Where the Crawdads Sing,Where the Crawdads Sing,Want to Read
,,by ,Rate this book
,,Delia Owens (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.38 avg rating — 3,161,007 ratings",
,,"score: 229, and 3 people voted ?",
25,Piranesi,Piranesi,Want to Read
,,by ,Rate this book
,,Susanna Clarke,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.23 avg rating — 315,211 ratings",
,,"score: 227, and 3 people voted ?",
26,Life of Pi,Life of Pi,Want to Read
,,by ,Rate this book
,,Yann Martel,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.94 avg rating — 1,655,439 ratings",
,,"score: 202, and 3 people voted ?",
27,Pachinko,Pachinko,Want to Read
,,by ,Rate this book
,,Min Jin Lee,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.33 avg rating — 503,649 ratings",
,,"score: 194, and 2 people voted ?",
